,agent1
ep562,15.0
ep563,16.0
ep564,16.0
ep565,16.0
ep566,15.0
ep567,16.0
ep568,16.0
ep569,14.0
ep570,16.0
ep571,16.0
ep572,16.0
ep573,16.0
ep574,16.0
ep575,14.0
ep576,11.0
ep577,16.0
ep578,16.0
ep579,16.0
ep580,16.0
ep581,16.0
ep582,16.0
ep583,11.0
ep584,16.0
ep585,16.0
ep586,16.0
ep587,16.0
ep588,13.0
ep589,16.0
ep590,16.0
ep591,14.0
ep592,9.0
ep593,16.0
ep594,16.0
ep595,16.0
ep596,16.0
ep597,16.0
ep598,16.0
ep599,15.0
ep600,13.0
ep601,13.0
ep602,15.0
ep603,16.0
ep604,15.0
ep605,16.0
ep606,9.0
ep607,16.0
ep608,16.0
ep609,16.0
ep610,16.0
ep611,13.0
ep612,15.0
ep613,12.0
ep614,16.0
ep615,16.0
ep616,8.0
ep617,16.0
ep618,16.0
ep619,16.0
ep620,16.0
ep621,16.0
ep622,14.0
ep623,16.0
ep624,16.0
ep625,14.0
ep626,16.0
ep627,16.0
ep628,10.0
ep629,16.0
ep630,14.0
ep631,16.0
ep632,15.0
ep633,16.0
ep634,11.0
ep635,16.0
ep636,16.0
ep637,10.0
ep638,16.0
ep639,14.0
ep640,14.0
ep641,14.0
ep642,15.0
ep643,16.0
ep644,16.0
ep645,16.0
ep646,13.0
ep647,14.0
ep648,16.0
ep649,16.0
ep650,14.0
ep651,12.0
ep652,13.0
ep653,13.0
ep654,13.0
ep655,11.0
ep656,15.0
ep657,16.0
ep658,16.0
ep659,16.0
ep660,16.0
ep661,15.0
ep662,14.0
ep663,15.0
ep664,15.0
ep665,16.0
ep666,14.0
ep667,16.0
ep668,16.0
ep669,16.0
ep670,16.0
ep671,16.0
ep672,15.0
ep673,16.0
ep674,7.0
ep675,12.0
ep676,15.0
ep677,16.0
ep678,9.0
ep679,16.0
ep680,9.0
ep681,11.0
ep682,15.0
ep683,16.0
ep684,16.0
ep685,15.0
ep686,16.0
ep687,16.0
ep688,16.0
ep689,16.0
ep690,16.0
ep691,16.0
ep692,16.0
ep693,15.0
ep694,15.0
ep695,16.0
ep696,16.0
ep697,16.0
ep698,16.0
ep699,16.0
ep700,12.0
ep701,16.0
ep702,14.0
ep703,13.0
ep704,16.0
ep705,14.0
ep706,15.0
ep707,16.0
ep708,15.0
ep709,16.0
ep710,16.0
ep711,16.0
ep712,16.0
ep713,16.0
ep714,15.0
ep715,16.0
ep716,13.0
ep717,16.0
ep718,16.0
ep719,13.0
ep720,16.0
ep721,12.0
ep722,16.0
ep723,16.0
ep724,11.0
ep725,16.0
ep726,16.0
ep727,14.0
ep728,16.0
ep729,13.0
ep730,16.0
ep731,16.0
ep732,9.0
ep733,16.0
ep734,16.0
ep735,14.0
ep736,16.0
ep737,16.0
ep738,16.0
ep739,16.0
ep740,15.0
ep741,11.0
ep742,16.0
ep743,15.0
ep744,15.0
ep745,16.0
ep746,14.0
ep747,16.0
ep748,16.0
ep749,16.0
ep750,16.0
ep751,16.0
ep752,16.0
ep753,16.0
ep754,14.0
ep755,12.0
ep756,16.0
ep757,12.0
